2024/03/28,80800,1000,1.25,79400,81000,79200,25084812,2014951562108,482358430040000,5969782550
2024/03/27,79800,-100,-0.13,79200,80000,79200,17424595,1387268449298,476388647490000,5969782550
2024/03/26,79900,1700,2.17,79700,80100,79200,30551494,2435792962320,476985625745000,5969782550
2024/03/25,78200,-700,-0.89,79600,79800,77800,18703996,1472206590003,466836995410000,5969782550
2024/03/22,78900,-400,-0.50,79600,79900,77800,26724761,2104543621700,471015843195000,5969782550
2024/03/21,79300,2400,3.12,79200,79300,77700,44569799,3509987699100,473403756215000,5969782550
2024/03/20,76900,4100,5.63,73700,77200,73400,50106297,3799218645198,459076278095000,5969782550
2024/03/19,72800,0,0.00,72300,73000,71700,15376066,1109067418300,434600169640000,5969782550
2024/03/18,72800,500,0.69,72600,73000,72500,11520348,837895575620,434600169640000,5969782550
2024/03/15,72300,-2000,-2.69,73400,73700,72300,22580555,1646273148384,431615278365000,5969782550
2024/03/14,74300,200,0.27,74400,74500,73600,22545539,1672983915400,443554843465000,5969782550
2024/03/13,74100,800,1.09,73700,74100,73500,15243134,1126213362951,442360886955000,5969782550
2024/03/12,73300,900,1.24,72600,73500,72100,13011654,946370610204,437585060915000,5969782550
2024/03/11,72400,-900,-1.23,72900,73100,72300,9740504,707795779500,432212256620000,5969782550
2024/03/08,73300,1100,1.52,72800,73400,72600,19271349,1406734002184,437585060915000,5969782550
2024/03/07,72200,-700,-0.96,73100,73300,72200,14516963,1054959751460,431018300110000,5969782550
2024/03/06,72900,-800,-1.09,73200,73500,72700,21547905,1577128384469,435197147895000,5969782550
2024/03/05,73700,-1200,-1.60,74600,74800,73700,19505125,1446710162593,439972973935000,5969782550
2024/03/04,74900,1500,2.04,74300,75000,74000,23210474,1730190362362,447136712995000,5969782550
2024/02/29,73400,200,0.27,72600,73400,72000,21176403,1543929097874,438182039170000,5969782550
2024/02/28,73200,300,0.41,72900,73900,72800,11795859,866532716548,436988082660000,5969782550
2024/02/27,72900,100,0.14,73100,73400,72700,13201981,963297077300,435197147895000,5969782550
2024/02/26,72800,-100,-0.14,72300,73200,72200,14669352,1067725992988,434600169640000,5969782550
2024/02/23,72900,-200,-0.27,73600,74200,72900,16225166,1189838938900,435197147895000,5969782550
2024/02/22,73100,100,0.14,73800,73900,72700,15208934,1111907697100,436391104405000,5969782550
2024/02/21,73000,-300,-0.41,73400,73700,72900,11503495,841682946896,435794126150000,5969782550
2024/02/20,73300,-500,-0.68,73700,73700,72800,14681477,1074233851920,437585060915000,5969782550
2024/02/19,73800,1000,1.37,72800,73900,72800,12726404,936829110513,440569952190000,5969782550
2024/02/16,72800,-200,-0.27,73300,73400,72500,13444781,979246120166,434600169640000,5969782550
2024/02/15,73000,-1000,-1.35,74200,74400,73000,14120600,1037048777500,435794126150000,5969782550
2024/02/14,74000,-1200,-1.60,73700,74300,73700,12434945,920046681339,441763908700000,5969782550
2024/02/13,75200,1100,1.48,74800,75200,74400,21966745,1645918689800,448927647760000,5969782550
2024/02/08,74100,-900,-1.20,75000,75200,73600,20810708,1545421527910,442360886955000,5969782550
